Rk,Player,Nation,Pos,Squad,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Age
461,Nélson Semedo,pt POR,DF,Wolves,1993.0,32,31,2751,30.6,0,4,4,0,0,0,7,0,0.8,0.8,2.8,3.6,63,74,113,0.0,0.13,0.13,0.0,0.13,0.03,0.09,0.12,0.03,0.12,31.0
462,Antoine Semenyo,gh GHA,FW,Bournemouth,2000.0,35,34,3023,33.6,9,5,14,9,0,0,9,0,9.5,9.5,5.8,15.3,137,107,270,0.27,0.15,0.42,0.27,0.42,0.28,0.17,0.46,0.28,0.46,25.0
463,Marcos Senesi,ar ARG,DF,Bournemouth,1997.0,16,12,1029,11.4,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.1,12,54,6,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,28.0
464,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,2000.0,14,7,552,6.1,4,2,6,4,0,0,1,0,1.6,1.6,1.0,2.6,15,20,56,0.65,0.33,0.98,0.65,0.98,0.27,0.16,0.42,0.27,0.42,24.0
465,Luke Shaw,eng ENG,DF,Manchester Utd,1995.0,6,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,7,23,7,0.0,0.0,0.0,0.0,0.0,0.01,0.24,0.25,0.01,0.25,29.0
466,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
467,Bernardo Silva,pt POR,"MF,FW",Manchester City,1994.0,31,27,2491,27.7,3,4,7,3,0,0,7,0,3.6,3.6,4.4,8.0,98,122,191,0.11,0.14,0.25,0.11,0.25,0.13,0.16,0.29,0.13,0.29,30.0
468,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,1999.0,29,5,845,9.4,3,1,4,3,0,0,5,0,2.0,2.0,2.9,4.9,20,18,58,0.32,0.11,0.43,0.32,0.43,0.22,0.31,0.52,0.22,0.52,25.0
469,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,2006.0,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
470,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,2005.0,2,1,96,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
471,Luis Sinisterra,co COL,"FW,MF",Bournemouth,1999.0,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.0,25.0
472,Oliver Skipp,eng ENG,MF,Leicester City,2000.0,22,9,1055,11.7,0,0,0,0,0,0,8,0,0.2,0.2,0.3,0.4,16,34,19,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,24.0
473,William Smallbone,ie IRL,MF,Southampton,2000.0,16,6,647,7.2,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.1,5,25,23,0.14,0.0,0.14,0.14,0.14,0.06,0.09,0.15,0.06,0.15,25.0
474,Adam Smith,eng ENG,DF,Bournemouth,1991.0,23,18,1478,16.4,0,0,0,0,0,0,7,0,0.7,0.7,0.3,1.0,12,43,32,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,34.0
475,Emile Smith Rowe,eng ENG,MF,Fulham,2000.0,32,24,1948,21.6,6,3,9,6,0,0,2,0,4.4,4.4,1.3,5.7,52,121,121,0.28,0.14,0.42,0.28,0.42,0.2,0.06,0.27,0.2,0.27,24.0
476,Dominic Solanke,eng ENG,FW,Tottenham,1997.0,25,24,2119,23.5,8,3,11,8,0,0,0,0,10.1,10.1,2.9,13.1,29,45,88,0.34,0.13,0.47,0.34,0.47,0.43,0.13,0.56,0.43,0.56,27.0
477,Carlos Soler,es ESP,"MF,FW",West Ham,1997.0,30,14,1376,15.3,1,1,2,1,0,0,5,0,1.7,1.7,1.2,2.9,16,52,34,0.07,0.07,0.13,0.07,0.13,0.11,0.08,0.19,0.11,0.19,28.0
478,Julio Soler,ar ARG,FW,Bournemouth,2005.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
479,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,1999.0,19,1,295,3.3,1,0,1,1,0,0,1,0,1.0,1.0,0.5,1.5,12,6,17,0.31,0.0,0.31,0.31,0.31,0.31,0.15,0.45,0.31,0.45,25.0
480,Tomáš Souček,cz CZE,MF,West Ham,1995.0,33,28,2420,26.9,9,1,10,9,0,0,8,0,6.6,6.6,1.0,7.6,8,70,67,0.33,0.04,0.37,0.33,0.37,0.24,0.04,0.28,0.24,0.28,30.0
481,Boubakary Soumaré,fr FRA,MF,Leicester City,1999.0,29,23,1991,22.1,0,0,0,0,0,0,8,0,0.3,0.3,0.4,0.7,32,100,22,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,26.0
482,Djed Spence,eng ENG,DF,Tottenham,2000.0,23,18,1694,18.8,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,58,103,70,0.05,0.11,0.16,0.05,0.16,0.03,0.09,0.12,0.03,0.12,24.0
483,Jay Stansfield,eng ENG,MF,Fulham,2002.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
484,Jason Steele,eng ENG,GK,Brighton,1990.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0
485,Jack Stephens,eng ENG,DF,Southampton,1994.0,18,16,1299,14.4,1,0,1,1,0,0,2,2,0.6,0.6,0.2,0.7,13,53,2,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,31.0
486,Raheem Sterling,eng ENG,"FW,MF",Arsenal,1994.0,16,6,437,4.9,0,2,2,0,0,0,1,0,1.3,1.3,0.5,1.8,25,17,73,0.0,0.41,0.41,0.0,0.41,0.27,0.1,0.37,0.27,0.37,30.0
487,Ross Stewart,sct SCO,FW,Southampton,1996.0,10,3,289,3.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,1,2,6,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,28.0
488,Jakub Stolarczyk,pl POL,GK,Leicester City,2000.0,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
489,John Stones,eng ENG,"DF,MF",Manchester City,1994.0,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,30.0
490,Jørgen Strand Larsen,no NOR,FW,Wolves,2000.0,33,29,2495,27.7,13,2,15,13,0,0,4,0,10.0,10.0,2.4,12.4,17,29,108,0.47,0.07,0.54,0.47,0.54,0.36,0.09,0.45,0.36,0.45,25.0
491,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,2000.0,29,15,1467,16.3,1,1,2,1,0,0,4,0,0.5,0.5,2.2,2.7,32,68,76,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,24.0
492,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,2002.0,24,15,1265,14.1,1,1,2,1,0,0,2,0,1.4,1.4,1.0,2.4,59,26,81,0.07,0.07,0.14,0.07,0.14,0.1,0.07,0.17,0.1,0.17,23.0
493,Crysencio Summerville,nl NED,"FW,MF",West Ham,2001.0,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,23.0
494,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,1995.0,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.0,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,29.0
495,Dominik Szoboszlai,hu HUN,MF,Liverpool,2000.0,34,27,2369,26.3,5,6,11,5,0,0,6,0,7.2,7.2,7.2,14.4,68,121,122,0.19,0.23,0.42,0.19,0.42,0.27,0.27,0.55,0.27,0.55,24.0
496,Matt Targett,eng ENG,DF,Newcastle Utd,1995.0,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
497,James Tarkowski,eng ENG,DF,Everton,1992.0,33,33,2922,32.5,1,1,2,1,0,0,6,0,1.3,1.3,2.9,4.2,9,75,3,0.03,0.03,0.06,0.03,0.06,0.04,0.09,0.13,0.04,0.13,32.0
498,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,1999.0,27,18,1760,19.6,3,5,8,3,0,0,5,0,5.3,5.3,2.9,8.2,49,109,118,0.15,0.26,0.41,0.15,0.41,0.27,0.15,0.42,0.27,0.42,26.0
499,Charlie Taylor,eng ENG,DF,Southampton,1993.0,7,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,8,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,31.0
500,Jack Taylor,ie IRL,MF,Ipswich Town,1998.0,30,4,827,9.2,1,0,1,1,0,0,4,0,0.7,0.7,0.5,1.3,11,42,22,0.11,0.0,0.11,0.11,0.11,0.08,0.06,0.14,0.08,0.14,26.0
501,Mathys Tel,fr FRA,FW,Tottenham,2005.0,11,9,739,8.2,2,1,3,1,1,1,1,0,2.3,1.5,1.5,3.0,22,19,60,0.24,0.12,0.37,0.12,0.24,0.28,0.19,0.47,0.18,0.37,20.0
502,Kenny Tete,nl NED,DF,Fulham,1995.0,20,19,1594,17.7,0,2,2,0,0,0,4,0,1.2,1.2,0.9,2.2,33,55,49,0.0,0.11,0.11,0.0,0.11,0.07,0.05,0.12,0.07,0.12,29.0
503,Thiago,br BRA,FW,Brentford,2001.0,6,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,5,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,23.0
504,Luke Thomas,eng ENG,DF,Leicester City,2001.0,12,11,949,10.5,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,4,33,15,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.08,0.03,0.08,23.0
505,Youri Tielemans,be BEL,MF,Aston Villa,1997.0,35,35,2997,33.3,3,7,10,3,0,1,4,0,3.1,2.3,6.9,9.2,39,234,48,0.09,0.21,0.3,0.09,0.3,0.09,0.21,0.3,0.07,0.28,28.0
506,Kieran Tierney,sct SCO,"DF,FW",Arsenal,1997.0,11,1,194,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,5,12,22,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.1,0.5,27.0
507,Jurriën Timber,nl NED,DF,Arsenal,2001.0,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,23.0
508,Jean-Clair Todibo,fr FRA,DF,West Ham,1999.0,25,18,1646,18.3,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,35,5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,25.0
509,Harry Toffolo,eng ENG,DF,Nott'ham Forest,1995.0,4,1,137,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,29.0
510,Takehiro Tomiyasu,jp JPN,DF,Arsenal,1998.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37,26.0
511,Sandro Tonali,it ITA,MF,Newcastle Utd,2000.0,34,26,2450,27.2,4,2,6,4,0,0,5,0,4.3,4.3,1.4,5.8,33,117,49,0.15,0.07,0.22,0.15,0.22,0.16,0.05,0.21,0.16,0.21,25.0
512,Pau Torres,es ESP,DF,Aston Villa,1997.0,22,21,1840,20.4,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,33,77,4,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,28.0
513,Conor Townsend,eng ENG,DF,Ipswich Town,1993.0,6,3,335,3.7,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,8,13,0.0,0.27,0.27,0.0,0.27,0.01,0.18,0.18,0.01,0.18,32.0
514,Adama Traoré,es ESP,"FW,MF",Fulham,1996.0,34,16,1620,18.0,2,6,8,2,0,0,3,0,3.9,3.9,4.7,8.6,91,64,148,0.11,0.33,0.44,0.11,0.44,0.22,0.26,0.48,0.22,0.48,29.0
515,Boubacar Traoré,ml MLI,MF,Wolves,2001.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
516,Mark Travers,ie IRL,GK,Bournemouth,1999.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
517,Ryan Trevitt,eng ENG,MF,Brentford,2003.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
518,Kieran Trippier,eng ENG,DF,Newcastle Utd,1990.0,24,14,1281,14.2,0,3,3,0,0,0,1,0,0.1,0.1,1.3,1.3,25,111,53,0.0,0.21,0.21,0.0,0.21,0.01,0.09,0.09,0.01,0.09,34.0
519,Leandro Trossard,be BEL,FW,Arsenal,1994.0,36,27,2431,27.0,8,6,14,8,0,0,4,1,7.1,7.1,6.0,13.0,79,99,216,0.3,0.22,0.52,0.3,0.52,0.26,0.22,0.48,0.26,0.48,30.0
520,Kostas Tsimikas,gr GRE,DF,Liverpool,1996.0,17,8,747,8.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,16,71,42,0.0,0.12,0.12,0.0,0.12,0.05,0.26,0.3,0.05,0.3,29.0
521,Axel Tuanzebe,cd COD,DF,Ipswich Town,1997.0,20,18,1530,17.0,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,49,9,0.0,0.06,0.06,0.0,0.06,0.01,0.02,0.03,0.01,0.03,27.0
522,Destiny Udogie,it ITA,DF,Tottenham,2002.0,24,23,1834,20.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93,0.0,0.05,0.05,0.0,0.05,0.01,0.07,0.09,0.01,0.09,22.0
523,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,2001.0,28,22,1764,19.6,1,2,3,1,0,0,10,0,1.0,1.0,1.1,2.1,16,60,20,0.05,0.1,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,24.0
524,Lesley Ugochukwu,fr FRA,MF,Southampton,2004.0,25,17,1570,17.4,1,1,2,1,0,0,7,0,0.9,0.9,1.0,1.9,29,49,20,0.06,0.06,0.11,0.06,0.11,0.05,0.06,0.11,0.05,0.11,21.0
525,Enes Ünal,tr TUR,"FW,MF",Bournemouth,1997.0,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,28.0
526,Virgil van Dijk,nl NED,DF,Liverpool,1991.0,36,36,3240,36.0,3,1,4,3,0,0,4,0,2.2,2.2,0.7,3.0,18,182,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,33.0
527,Jamie Vardy,eng ENG,FW,Leicester City,1987.0,34,34,2744,30.5,8,4,12,7,1,2,5,0,10.7,9.2,3.0,12.2,28,21,116,0.26,0.13,0.39,0.23,0.36,0.35,0.1,0.45,0.3,0.4,38.0
528,Renato Veiga,pt POR,"DF,MF",Chelsea,2003.0,7,1,181,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,7,3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,21.0
529,Joël Veltman,nl NED,DF,Brighton,1992.0,20,19,1665,18.5,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,30,80,32,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,33.0
530,Micky van de Ven,nl NED,DF,Tottenham,2001.0,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.0,0.19,0.19,0.0,0.19,0.05,0.11,0.16,0.05,0.16,24.0
531,Bart Verbruggen,nl NED,GK,Brighton,2002.0,34,34,3060,34.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,22.0
532,Jannik Vestergaard,dk DEN,DF,Leicester City,1992.0,18,16,1391,15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,32.0
533,Guglielmo Vicario,it ITA,GK,Tottenham,1996.0,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
534,Carlos Vinícius,br BRA,"MF,FW",Fulham,1995.0,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,30.0
535,Kyle Walker,eng ENG,DF,Manchester City,1990.0,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,34.0
536,Kyle Walker-Peters,eng ENG,DF,Southampton,1997.0,33,33,2918,32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0.0,0.06,0.06,0.0,0.06,0.03,0.09,0.11,0.03,0.11,28.0
537,Christian Walton,eng ENG,GK,Ipswich Town,1995.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
538,Aaron Wan-Bissaka,eng ENG,DF,West Ham,1997.0,34,33,2974,33.0,2,4,6,2,0,0,1,0,1.2,1.2,3.5,4.7,105,135,154,0.06,0.12,0.18,0.06,0.18,0.04,0.11,0.14,0.04,0.14,27.0
539,Danny Ward,wls WAL,GK,Leicester City,1993.0,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
540,Joel Ward,eng ENG,DF,Crystal Palace,1989.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
541,James Ward-Prowse,eng ENG,MF,West Ham,1994.0,13,10,903,10.0,0,1,1,0,0,0,2,0,1.1,1.1,1.5,2.6,9,49,4,0.0,0.1,0.1,0.0,0.1,0.11,0.15,0.26,0.11,0.26,30.0
542,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,1994.0,9,5,400,4.4,0,1,1,0,0,0,2,1,0.1,0.1,1.1,1.2,1,16,3,0.0,0.23,0.23,0.0,0.23,0.01,0.25,0.26,0.01,0.26,30.0
543,Ollie Watkins,eng ENG,FW,Aston Villa,1995.0,36,29,2423,26.9,16,7,23,14,2,2,2,0,15.1,13.5,3.0,16.6,54,29,152,0.59,0.26,0.85,0.52,0.78,0.56,0.11,0.67,0.5,0.62,29.0
544,Adam Webster,eng ENG,DF,Brighton,1995.0,12,9,707,7.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,41,2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.07,30.0
545,Danny Welbeck,eng ENG,FW,Brighton,1990.0,29,23,2032,22.6,10,4,14,9,1,1,5,0,8.9,8.1,1.3,9.4,20,45,88,0.44,0.18,0.62,0.4,0.58,0.39,0.06,0.45,0.36,0.42,34.0
546,Welington,br BRA,"DF,MF",Southampton,2001.0,8,4,302,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,7,10,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,24.0
547,Timo Werner,de GER,"FW,MF",Tottenham,1996.0,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.0,0.52,0.52,0.0,0.52,0.17,0.44,0.61,0.17,0.61,29.0
548,Adam Wharton,eng ENG,MF,Crystal Palace,2004.0,20,16,1318,14.6,0,2,2,0,0,0,2,0,0.4,0.4,3.0,3.4,14,107,11,0.0,0.14,0.14,0.0,0.14,0.03,0.21,0.23,0.03,0.23,20.0
549,Ben White,eng ENG,DF,Arsenal,1997.0,15,11,1018,11.3,0,1,1,0,0,0,2,0,0.4,0.4,0.9,1.3,16,47,33,0.0,0.09,0.09,0.0,0.09,0.04,0.08,0.12,0.04,0.12,27.0
550,Mats Wieffer,nl NED,"MF,DF",Brighton,1999.0,23,8,835,9.3,1,3,4,1,0,0,6,0,0.7,0.7,1.5,2.2,18,55,18,0.11,0.32,0.43,0.11,0.43,0.08,0.16,0.24,0.08,0.24,25.0
551,Neco Williams,wls WAL,DF,Nott'ham Forest,2001.0,33,26,2414,26.8,1,3,4,1,0,0,7,0,2.3,2.3,1.5,3.8,65,85,95,0.04,0.11,0.15,0.04,0.15,0.09,0.06,0.14,0.09,0.14,24.0
552,Willian,br BRA,"FW,MF",Fulham,1988.0,10,2,257,2.9,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,11,40,33,0.0,0.0,0.0,0.0,0.0,0.1,0.18,0.28,0.1,0.28,36.0
553,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,1999.0,30,11,1026,11.4,0,2,2,0,0,0,3,0,1.6,1.6,1.9,3.5,36,38,82,0.0,0.18,0.18,0.0,0.18,0.14,0.17,0.31,0.14,0.31,25.0
554,Callum Wilson,eng ENG,FW,Newcastle Utd,1992.0,16,1,286,3.2,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,5,3,12,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,33.0
555,Harry Wilson,wls WAL,"FW,MF",Fulham,1997.0,23,11,1077,12.0,5,1,6,5,0,0,2,0,4.0,4.0,1.1,5.1,18,49,89,0.42,0.08,0.5,0.42,0.5,0.34,0.09,0.43,0.34,0.43,28.0
556,Harry Winks,eng ENG,MF,Leicester City,1996.0,22,17,1538,17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.0,0.12,0.12,0.0,0.12,0.01,0.07,0.09,0.01,0.09,29.0
557,Ben Winterburn,eng ENG,"FW,MF",Bournemouth,2004.0,3,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
558,Yoane Wissa,cd COD,FW,Brentford,1996.0,33,32,2739,30.4,18,3,21,18,0,0,3,0,17.0,17.0,1.9,18.9,54,61,139,0.59,0.1,0.69,0.59,0.69,0.56,0.06,0.62,0.56,0.62,28.0
559,Chris Wood,nz NZL,FW,Nott'ham Forest,1991.0,34,33,2779,30.9,20,3,23,17,3,3,1,0,12.3,10.0,2.5,12.5,14,36,88,0.65,0.1,0.74,0.55,0.65,0.4,0.08,0.48,0.32,0.4,33.0
560,Nathan Wood-Gordon,eng ENG,DF,Southampton,2002.0,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,22.0
561,Luke Woolfenden,eng ENG,DF,Ipswich Town,1998.0,15,12,1187,13.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
562,Yehor Yarmoliuk,ua UKR,MF,Brentford,2004.0,29,13,1286,14.3,0,0,0,0,0,0,6,0,0.6,0.6,0.9,1.5,15,57,46,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,21.0
563,Ryan Yates,eng ENG,MF,Nott'ham Forest,1997.0,33,18,1891,21.0,2,1,3,2,0,0,10,0,2.3,2.3,1.2,3.5,17,48,15,0.1,0.05,0.14,0.1,0.14,0.11,0.06,0.16,0.11,0.16,27.0
564,Leny Yoro,fr FRA,DF,Manchester Utd,2005.0,21,12,1165,12.9,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,19,52,4,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,19.0
565,Ashley Young,eng ENG,"DF,FW",Everton,1985.0,30,18,1712,19.0,1,3,4,1,0,0,6,1,0.3,0.3,2.1,2.3,21,85,29,0.05,0.16,0.21,0.05,0.21,0.01,0.11,0.12,0.01,0.12,39.0
566,Illia Zabarnyi,ua UKR,DF,Bournemouth,2002.0,34,33,2929,32.5,0,0,0,0,0,0,4,1,1.1,1.1,0.6,1.6,26,129,4,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,22.0
567,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,1996.0,14,4,458,5.1,0,1,1,0,0,0,1,0,0.3,0.3,0.1,0.4,10,37,12,0.0,0.2,0.2,0.0,0.2,0.05,0.03,0.08,0.05,0.08,28.0
568,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,2001.0,32,14,1402,15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.1,0.41,0.31,0.41,23.0
569,Martin Ødegaard,no NOR,MF,Arsenal,1998.0,28,25,2220,24.7,2,7,9,1,1,1,4,0,4.7,3.9,5.3,9.2,89,250,146,0.08,0.28,0.36,0.04,0.32,0.19,0.21,0.41,0.16,0.37,26.0
