Rk,Player,Nation,Pos,Squad,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Age
319,Harry Maguire,eng ENG,DF,Manchester Utd,1993.0,25,17,1578,17.5,1,0,1,1,0,0,7,0,1.8,1.8,0.6,2.3,6,46,7,0.06,0.0,0.06,0.06,0.06,0.1,0.03,0.13,0.1,0.13,32.0
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,2005.0,23,19,1596,17.7,0,0,0,0,0,0,5,0,0.7,0.7,1.6,2.3,22,64,45,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.04,0.13,20.0
321,Tyrell Malacia,nl NED,DF,Manchester Utd,1999.0,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,25.0
322,Donyell Malen,nl NED,FW,Aston Villa,1999.0,12,2,293,3.3,3,0,3,3,0,0,0,0,2.2,2.2,0.1,2.2,11,5,25,0.92,0.0,0.92,0.92,0.92,0.66,0.02,0.68,0.66,0.68,26.0
323,Mateus Mane,,MF,Wolves,,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
324,Orel Mangala,be BEL,MF,Everton,1998.0,19,14,1261,14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,27.0
325,Ryan Manning,ie IRL,"DF,MF",Southampton,1996.0,24,18,1462,16.2,0,1,1,0,0,0,2,0,0.3,0.3,3.2,3.6,14,35,74,0.0,0.06,0.06,0.0,0.06,0.02,0.2,0.22,0.02,0.22,28.0
326,Solly March,eng ENG,"FW,MF",Brighton,1994.0,8,1,168,1.9,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,2,20,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.19,0.05,0.19,30.0
327,Omar Marmoush,eg EGY,"FW,MF",Manchester City,1999.0,14,12,1005,11.2,6,0,6,6,0,0,0,0,4.9,4.9,1.7,6.6,22,29,68,0.54,0.0,0.54,0.54,0.54,0.44,0.15,0.59,0.44,0.59,26.0
328,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,2001.0,31,23,2131,23.7,8,4,12,8,0,0,1,0,6.4,6.4,4.7,11.1,116,49,276,0.34,0.17,0.51,0.34,0.51,0.27,0.2,0.47,0.27,0.47,23.0
329,Emiliano Martínez,ar ARG,GK,Aston Villa,1992.0,35,35,3060,34.0,0,0,0,0,0,0,5,0,0.0,0.0,0.5,0.5,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,32.0
330,Lisandro Martínez,ar ARG,DF,Manchester Utd,1998.0,20,20,1751,19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.1,0.05,0.15,0.1,0.15,0.07,0.06,0.13,0.07,0.13,27.0
331,Pape Matar Sarr,sn SEN,MF,Tottenham,2002.0,34,20,1816,20.2,3,2,5,3,0,0,6,0,3.7,3.7,1.6,5.3,32,86,52,0.15,0.1,0.25,0.15,0.25,0.18,0.08,0.26,0.18,0.26,22.0
332,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,1997.0,35,32,2577,28.6,14,2,16,12,2,2,2,0,12.7,11.1,3.2,14.3,41,51,120,0.49,0.07,0.56,0.42,0.49,0.44,0.11,0.55,0.39,0.5,27.0
333,Stephy Mavididi,eng ENG,FW,Leicester City,1998.0,30,16,1615,17.9,4,1,5,4,0,0,2,0,1.8,1.8,2.6,4.4,91,57,138,0.22,0.06,0.28,0.22,0.28,0.1,0.15,0.25,0.1,0.25,26.0
334,Konstantinos Mavropanos,gr GRE,DF,West Ham,1997.0,32,20,1955,21.7,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2.0,16,61,2,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,27.0
335,Noussair Mazraoui,ma MAR,DF,Manchester Utd,1997.0,35,32,2729,30.3,0,1,1,0,0,0,2,0,0.7,0.7,1.3,2.0,41,110,51,0.0,0.03,0.03,0.0,0.03,0.02,0.04,0.07,0.02,0.07,27.0
336,Bryan Mbeumo,cm CMR,FW,Brentford,1999.0,36,36,3234,35.9,18,7,25,13,5,5,3,0,11.0,7.1,8.1,15.2,120,133,331,0.5,0.19,0.7,0.36,0.56,0.31,0.23,0.53,0.2,0.42,25.0
337,James Mcatee,eng ENG,"MF,FW",Manchester City,2002.0,15,3,349,3.9,3,0,3,3,0,0,1,0,2.8,2.8,0.5,3.3,7,7,32,0.77,0.0,0.77,0.77,0.77,0.72,0.13,0.85,0.72,0.85,22.0
338,Kasey McAteer,ie IRL,"FW,MF",Leicester City,2001.0,16,7,688,7.6,0,1,1,0,0,0,2,0,0.9,0.9,0.7,1.6,16,11,59,0.0,0.13,0.13,0.0,0.13,0.11,0.09,0.21,0.11,0.21,23.0
339,Alex McCarthy,eng ENG,GK,Southampton,1989.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
340,John McGinn,sct SCO,"MF,FW",Aston Villa,1994.0,32,25,2073,23.0,1,4,5,1,0,0,7,0,2.9,2.6,3.4,6.0,31,99,73,0.04,0.17,0.22,0.04,0.22,0.13,0.15,0.28,0.11,0.26,30.0
341,Dwight McNeil,eng ENG,"MF,FW",Everton,1999.0,19,14,1292,14.4,4,5,9,4,0,0,1,0,1.1,1.1,3.9,5.0,37,64,76,0.28,0.35,0.63,0.28,0.63,0.08,0.27,0.35,0.08,0.35,25.0
