Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Matches
505,Youri Tielemans,be BEL,MF,Aston Villa,28-009,1997,35,35,2997,33.3,3,7,10,3,0,1,4,0,3.1,2.3,6.9,9.2,39,234,48,0.09,0.21,0.30,0.09,0.30,0.09,0.21,0.30,0.07,0.28,Matches
506,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-345,1997,11,1,194,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,5,12,22,0.00,0.00,0.00,0.00,0.00,0.10,0.40,0.50,0.10,0.50,Matches
507,Jurriën Timber,nl NED,DF,Arsenal,23-333,2001,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches
508,Jean-Clair Todibo,fr FRA,DF,West Ham,25-137,1999,25,18,1646,18.3,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,35,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
509,Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-270,1995,4,1,137,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
510,Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-192,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,2.37,0.00,2.37,2.37,2.37,Matches
511,Sandro Tonali,it ITA,MF,Newcastle Utd,25-008,2000,34,26,2450,27.2,4,2,6,4,0,0,5,0,4.3,4.3,1.4,5.8,33,117,49,0.15,0.07,0.22,0.15,0.22,0.16,0.05,0.21,0.16,0.21,Matches
512,Pau Torres,es ESP,DF,Aston Villa,28-120,1997,22,21,1840,20.4,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,33,77,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
513,Conor Townsend,eng ENG,DF,Ipswich Town,32-073,1993,6,3,335,3.7,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,8,13,0.00,0.27,0.27,0.00,0.27,0.01,0.18,0.18,0.01,0.18,Matches
514,Adama Traoré,es ESP,"FW,MF",Fulham,29-111,1996,34,16,1620,18.0,2,6,8,2,0,0,3,0,3.9,3.9,4.7,8.6,91,64,148,0.11,0.33,0.44,0.11,0.44,0.22,0.26,0.48,0.22,0.48,Matches
515,Boubacar Traoré,ml MLI,MF,Wolves,23-269,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
516,Mark Travers,ie IRL,GK,Bournemouth,25-363,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
517,Ryan Trevitt,eng ENG,MF,Brentford,22-065,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
518,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-239,1990,24,14,1281,14.2,0,3,3,0,0,0,1,0,0.1,0.1,1.3,1.3,25,111,53,0.00,0.21,0.21,0.00,0.21,0.01,0.09,0.09,0.01,0.09,Matches
519,Leandro Trossard,be BEL,FW,Arsenal,30-163,1994,36,27,2431,27.0,8,6,14,8,0,0,4,1,7.1,7.1,6.0,13.0,79,99,216,0.30,0.22,0.52,0.30,0.52,0.26,0.22,0.48,0.26,0.48,Matches
520,Kostas Tsimikas,gr GRE,DF,Liverpool,29-004,1996,17,8,747,8.3,0,1,1,0,0,0,2,0,0.4,0.4,2.1,2.5,16,71,42,0.00,0.12,0.12,0.00,0.12,0.05,0.26,0.30,0.05,0.30,Matches
521,Axel Tuanzebe,cd COD,DF,Ipswich Town,27-183,1997,20,18,1530,17.0,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,9,49,9,0.00,0.06,0.06,0.00,0.06,0.01,0.02,0.03,0.01,0.03,Matches
522,Destiny Udogie,it ITA,DF,Tottenham,22-169,2002,24,23,1834,20.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09,Matches
523,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-035,2001,28,22,1764,19.6,1,2,3,1,0,0,10,0,1.0,1.0,1.1,2.1,16,60,20,0.05,0.10,0.15,0.05,0.15,0.05,0.06,0.11,0.05,0.11,Matches
524,Lesley Ugochukwu,fr FRA,MF,Southampton,21-051,2004,25,17,1570,17.4,1,1,2,1,0,0,7,0,0.9,0.9,1.0,1.9,29,49,20,0.06,0.06,0.11,0.06,0.11,0.05,0.06,0.11,0.05,0.11,Matches
525,Enes Ünal,tr TUR,"FW,MF",Bournemouth,28-006,1997,17,2,345,3.8,2,1,3,2,0,0,2,0,2.7,2.7,0.4,3.1,4,12,22,0.52,0.26,0.78,0.52,0.78,0.72,0.10,0.82,0.72,0.82,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Virgil van Dijk,nl NED,DF,Liverpool,33-312,1991,36,36,3240,36.0,3,1,4,3,0,0,4,0,2.2,2.2,0.7,3.0,18,182,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,Matches
527,Jamie Vardy,eng ENG,FW,Leicester City,38-125,1987,34,34,2744,30.5,8,4,12,7,1,2,5,0,10.7,9.2,3.0,12.2,28,21,116,0.26,0.13,0.39,0.23,0.36,0.35,0.10,0.45,0.30,0.40,Matches
528,Renato Veiga,pt POR,"DF,MF",Chelsea,21-291,2003,7,1,181,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,7,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
529,Joël Veltman,nl NED,DF,Brighton,33-121,1992,20,19,1665,18.5,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,30,80,32,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
530,Micky van de Ven,nl NED,DF,Tottenham,24-027,2001,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16,Matches
531,Bart Verbruggen,nl NED,GK,Brighton,22-271,2002,34,34,3060,34.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
532,Jannik Vestergaard,dk DEN,DF,Leicester City,32-286,1992,18,16,1391,15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
533,Guglielmo Vicario,it ITA,GK,Tottenham,28-221,1996,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
534,Carlos Vinícius,br BRA,"MF,FW",Fulham,30-052,1995,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,Matches
535,Kyle Walker,eng ENG,DF,Manchester City,34-353,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
536,Kyle Walker-Peters,eng ENG,DF,Southampton,28-033,1997,33,33,2918,32.4,0,2,2,0,0,0,5,0,0.8,0.8,2.8,3.6,114,139,144,0.00,0.06,0.06,0.00,0.06,0.03,0.09,0.11,0.03,0.11,Matches
537,Christian Walton,eng ENG,GK,Ipswich Town,29-188,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
538,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-171,1997,34,33,2974,33.0,2,4,6,2,0,0,1,0,1.2,1.2,3.5,4.7,105,135,154,0.06,0.12,0.18,0.06,0.18,0.04,0.11,0.14,0.04,0.14,Matches
539,Danny Ward,wls WAL,GK,Leicester City,31-328,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
